詞	詞頻	注音	分類	作品名稱
四重奏	19	ㄙˋ ㄔㄨㄥˊ ㄗㄡˋ	動漫	異世界四重奏
四龍	13	ㄙˋ ㄌㄨㄥˊ	動漫	晨曦公主
國崎往人	17	ㄍㄨㄛˊ ㄑㄧˊ ㄨㄤˇ ㄖㄣˊ	動漫	AIR
國木田獨步	17	ㄍㄨㄛˊ ㄇㄨˋ ㄊㄧㄢˊ ㄉㄨˊ ㄅㄨˋ	動漫	文豪Stray Dogs
國木田花丸	9	ㄍㄨㄛˊ ㄇㄨˋ ㄊㄧㄢˊ ㄏㄨㄚ ㄨㄢˊ	動漫	Love Live! Sunshine!!
園原杏里	15	ㄩㄢˊ ㄩㄢˊ ㄒㄧㄥˋ ㄌㄧˇ	動漫	無頭騎士異聞錄DuRaRaRa!!
園崎詩音	10	ㄩㄢˊ ㄑㄧˊ ㄕ ㄧㄣ	動漫	寒蟬鳴泣之時
園崎魅音	15	ㄩㄢˊ ㄑㄧˊ ㄇㄟˋ ㄧㄣ	動漫	寒蟬鳴泣之時
園田海未	15	ㄩㄢˊ ㄊㄧㄢˊ ㄏㄞˇ ㄨㄟˋ	動漫	Love Live!
圓城寺仁	12	ㄩㄢˊ ㄔㄥˊ ㄙˋ ㄖㄣˊ	動漫	膽大黨
圓桌會議	12	ㄩㄢˊ ㄓㄨㄛ ㄏㄨㄟˋ ㄧˋ	動漫	記錄的地平線
圖書	14	ㄊㄨˊ ㄕㄨ	動漫	小書痴的下剋上
土地神	13	ㄊㄨˇ ㄉㄧˋ ㄕㄣˊ	動漫	元氣少女緣結神
土方十四郎	16	ㄊㄨˇ ㄈㄤ ㄕˊ ㄙˋ ㄌㄤˊ	動漫	銀魂
土方歲三	12	ㄊㄨˇ ㄈㄤ ㄙㄨㄟˋ ㄙㄢ	動漫	黃金神威
在地下城	23	ㄗㄞˋ ㄉㄧˋ ㄒㄧㄚˋ ㄔㄥˊ	動漫	在地下城尋求邂逅是否搞錯了什麼
地上最強	12	ㄉㄧˋ ㄕㄤˋ ㄗㄨㄟˋ ㄑㄧㄤˊ	動漫	刃牙
地下學生會	12	ㄉㄧˋ ㄒㄧㄚˋ ㄒㄩㄝˊ ㄕㄥ ㄏㄨㄟˋ	動漫	監獄學園
地動說	12	ㄉㄧˋ ㄉㄨㄥˋ ㄕㄨㄛ	動漫	地。－關於地球的運動－
地場衛	12	ㄉㄧˋ ㄔㄤˇ ㄨㄟˋ	動漫	美少女戰士
地平線	20	ㄉㄧˋ ㄆㄧㄥˊ ㄒㄧㄢˋ	動漫	記錄的地平線
地方	22	ㄉㄧˋ ㄈㄤ	動漫	比宇宙更遠的地方
地獄	133	ㄉㄧˋ ㄩˋ	動漫	鬼燈的冷徹
地獄少女	22	ㄉㄧˋ ㄩˋ ㄕㄠˋ ㄋㄩˇ	動漫	地獄少女
地獄樂	21	ㄉㄧˋ ㄩˋ ㄌㄜˋ	動漫	地獄樂
地獄的吹雪	14	ㄉㄧˋ ㄩˋ ㄉㄜ˙ ㄔㄨㄟ ㄒㄩㄝˇ	動漫	一拳超人
地球	21	ㄉㄧˋ ㄑㄧㄡˊ	動漫	地。－關於地球的運動－
地縛	22	ㄉㄧˋ ㄈㄨˊ	動漫	地縛少年花子君
坂上智代	15	ㄅㄢˇ ㄕㄤˋ ㄓˋ ㄉㄞˋ	動漫	CLANNAD
坂井悠二	18	ㄅㄢˇ ㄐㄧㄥˇ ㄧㄡ ㄦˋ	動漫	灼眼的夏娜
坂木靜香	14	ㄅㄢˇ ㄇㄨˋ ㄐㄧㄥˋ ㄒㄧㄤ	動漫	白箱
坂本太郎	21	ㄅㄢˇ ㄅㄣˇ ㄊㄞˋ ㄌㄤˊ	動漫	坂本日常
坂本日常	23	ㄅㄢˇ ㄅㄣˇ ㄖˋ ㄔㄤˊ	動漫	坂本日常
坂本雄二	13	ㄅㄢˇ ㄅㄣˇ ㄒㄩㄥˊ ㄦˋ	動漫	笨蛋，測驗，召喚獸
坂田銀時	24	ㄅㄢˇ ㄊㄧㄢˊ ㄧㄣˊ ㄕˊ	動漫	銀魂
坦派斯特	23	ㄊㄢˇ ㄆㄞˋ ㄙ ㄊㄜˋ	動漫	關於我轉生變成史萊姆這檔事
埃爾	22	ㄞ ㄦˇ	動漫	零之使魔
埃爾梅羅	21	ㄞ ㄦˇ ㄇㄟˊ ㄌㄨㄛˊ	動漫	君主·埃爾梅羅二世事件簿
城之內克也	15	ㄔㄥˊ ㄓ ㄋㄟˋ ㄎㄜˋ ㄧㄝˇ	動漫	遊戲王
城太郎	12	ㄔㄥˊ ㄊㄞˋ ㄌㄤˊ	動漫	強風吹拂
城惠	18	ㄔㄥˊ ㄏㄨㄟˋ	動漫	記錄的地平線
城戶丈	11	ㄔㄥˊ ㄏㄨˋ ㄓㄤˋ	動漫	數碼寶貝大冒險
城次郎	11	ㄔㄥˊ ㄘˋ ㄌㄤˊ	動漫	強風吹拂
埴之塚光邦	11	ㄓˊ ㄓ ㄓㄨㄥˇ ㄍㄨㄤ ㄅㄤ	動漫	櫻蘭高校男公關部
基利艾拉特	20	ㄐㄧ ㄌㄧˋ ㄞˋ ㄌㄚ ㄊㄜˋ	動漫	Fate/Grand Order
基爾伯特	20	ㄐㄧ ㄦˇ ㄅㄛˊ ㄊㄜˋ	動漫	紫羅蘭永恆花園
基爾巴奈特	14	ㄐㄧ ㄦˇ ㄅㄚ ㄋㄞˋ ㄊㄜˋ	動漫	潘朵拉之心
埼玉	10	ㄑㄧˊ ㄩˋ	動漫	一拳超人
堀京子	20	ㄐㄩㄝˊ ㄐㄧㄥ ㄗ˙	動漫	堀與宮村
堀政行	11	ㄐㄩㄝˊ ㄓㄥˋ ㄒㄧㄥˊ	動漫	月刊少女野崎同學
堀與宮村	22	ㄐㄩㄝˊ ㄩˇ ㄍㄨㄥ ㄘㄨㄣ	動漫	堀與宮村
堀越二郎	18	ㄐㄩㄝˊ ㄩㄝˋ ㄦˋ ㄌㄤˊ	動漫	風起
場地圭介	15	ㄔㄤˇ ㄉㄧˋ ㄍㄨㄟ ㄐㄧㄝˋ	動漫	東京復仇者
塔兒朵	11	ㄊㄚˇ ㄦˊ ㄉㄨㄛˇ	動漫	世界頂尖的暗殺者轉生為異世界貴族
塔帕莎	12	ㄊㄚˇ ㄆㄚˋ ㄕㄚ	動漫	零之使魔
塔矢亮	15	ㄊㄚˇ ㄕˇ ㄌㄧㄤˋ	動漫	棋靈王
塔矢行洋	13	ㄊㄚˇ ㄕˇ ㄒㄧㄥˊ ㄧㄤˊ	動漫	棋靈王
塔羅沙	16	ㄊㄚˇ ㄌㄨㄛˊ ㄕㄚ	動漫	魔法少女奈葉
塔茲米	15	ㄊㄚˇ ㄗ ㄇㄧˇ	動漫	斬！赤紅之瞳
塔荷	11	ㄊㄚˇ ㄏㄜˊ	動漫	交響詩篇
塚本天滿	18	ㄓㄨㄥˇ ㄅㄣˇ ㄊㄧㄢ ㄇㄢˇ	動漫	校園迷糊大王
塞爾堤	10	ㄙㄜˋ ㄦˇ ㄊㄧˊ	動漫	無頭騎士異聞錄DuRaRaRa!!
境界之輪迴	19	ㄐㄧㄥˋ ㄐㄧㄝˋ ㄓ ㄌㄨㄣˊ ㄏㄨㄟˊ	動漫	境界之輪迴
士遠	13	ㄕˋ ㄩㄢˇ	動漫	地獄樂
壬氏	19	ㄖㄣˊ ㄕˋ	動漫	藥師少女的獨語
壬生浪士組	10	ㄖㄣˊ ㄕㄥ ㄌㄤˋ ㄕˋ ㄗㄨˇ	動漫	青之壬生浪
夏娜	24	ㄒㄧㄚˋ ㄋㄚˋ	動漫	灼眼的夏娜
夏子	15	ㄒㄧㄚˋ ㄗ˙	動漫	蒼鷺與少年
夏提雅	17	ㄒㄧㄚˋ ㄊㄧˊ ㄧㄚˇ	動漫	OVERLORD
夏日大作戰	22	ㄒㄧㄚˋ ㄖˋ ㄉㄚˋ ㄗㄨㄛˋ ㄓㄢˋ	動漫	夏日大作戰
夏日重現	24	ㄒㄧㄚˋ ㄖˋ ㄔㄨㄥˊ ㄒㄧㄢˋ	動漫	夏日重現
夏油傑	13	ㄒㄧㄚˋ ㄧㄡˊ ㄐㄧㄝˊ	動漫	咒術迴戰
夏洛克	14	ㄒㄧㄚˋ ㄌㄨㄛˋ ㄎㄜˋ	動漫	不死少女的謀殺鬧劇
夏洛特貝琉	13	ㄒㄧㄚˋ ㄌㄨㄛˋ ㄊㄜˋ ㄅㄟˋ ㄌㄧㄡˊ	動漫	機巧少女不會受傷
夏目友人帳	25	ㄒㄧㄚˋ ㄇㄨˋ ㄧㄡˇ ㄖㄣˊ ㄓㄤˋ	動漫	夏目友人帳
夏目朝子	14	ㄒㄧㄚˋ ㄇㄨˋ ㄔㄠˊ ㄗ˙	動漫	鄰座的怪同學
夏目貴志	23	ㄒㄧㄚˋ ㄇㄨˋ ㄍㄨㄟˋ ㄓˋ	動漫	夏目友人帳
夏美	8	ㄒㄧㄚˋ ㄇㄟˇ	動漫	天氣之子
夏莉歐	11	ㄒㄧㄚˋ ㄌㄧˋ ㄡ	動漫	小魔女學園
夏蘿蘭茲	11	ㄒㄧㄚˋ ㄌㄨㄛˊ ㄌㄢˊ ㄗ	動漫	潘朵拉之心
夕霧	12	ㄒㄧˋ ㄨˋ	動漫	佐賀偶像是傳奇
多姆海伍	22	ㄉㄨㄛ ㄇㄨˇ ㄏㄞˇ ㄨˇ	動漫	黑執事
多尼多尼	13	ㄉㄨㄛ ㄋㄧˊ ㄉㄨㄛ ㄋㄧˊ	動漫	航海王
多拉格尼爾	22	ㄉㄨㄛ ㄌㄚ ㄍㄜˊ ㄋㄧˊ ㄦˇ	動漫	FAIRY TAIL魔導少年
多明尼克	8	ㄉㄨㄛ ㄇㄧㄥˊ ㄋㄧˊ ㄎㄜˋ	動漫	交響詩篇
多田萬里	18	ㄉㄨㄛ ㄊㄧㄢˊ ㄨㄢˋ ㄌㄧˇ	動漫	青春紀行
多莉	13	ㄉㄨㄛ ㄌㄧˋ	動漫	小書痴的下剋上
多軌透	14	ㄉㄨㄛ ㄍㄨㄟˇ ㄊㄡˋ	動漫	夏目友人帳
夜刀神十香	19	ㄧㄝˋ ㄉㄠ ㄕㄣˊ ㄕˊ ㄒㄧㄤ	動漫	約會大作戰
夜刀神狗朗	15	ㄧㄝˋ ㄉㄠ ㄕㄣˊ ㄍㄡˇ ㄌㄤˇ	動漫	K
夜叉姬	20	ㄧㄝˋ ㄔㄚ ㄐㄧ	動漫	半妖的夜叉姬
夜叉神天衣	11	ㄧㄝˋ ㄔㄚ ㄕㄣˊ ㄊㄧㄢ ㄧ	動漫	龍王的工作！
夜城	14	ㄧㄝˋ ㄔㄥˊ	動漫	Cyberpunk: Edgerunners
夜夜	26	ㄧㄝˋ ㄧㄝˋ	動漫	機巧少女不會受傷
夜櫻	24	ㄧㄝˋ ㄧㄥ	動漫	夜櫻家大作戰
夜櫻二刃	12	ㄧㄝˋ ㄧㄥ ㄦˋ ㄖㄣˋ	動漫	夜櫻家大作戰
夜櫻六美	15	ㄧㄝˋ ㄧㄥ ㄌㄧㄡˋ ㄇㄟˇ	動漫	夜櫻家大作戰
夜櫻凶一郎	14	ㄧㄝˋ ㄧㄥ ㄒㄩㄥ ㄧ ㄌㄤˊ	動漫	夜櫻家大作戰
夜櫻家	12	ㄧㄝˋ ㄧㄥ ㄐㄧㄚ	動漫	夜櫻家大作戰
夜櫻辛三	11	ㄧㄝˋ ㄧㄥ ㄒㄧㄣ ㄙㄢ	動漫	夜櫻家大作戰
夜神月	24	ㄧㄝˋ ㄕㄣˊ ㄩㄝˋ	動漫	死亡筆記本
夜襲	11	ㄧㄝˋ ㄒㄧˊ	動漫	斬！赤紅之瞳
夜見介大	14	ㄧㄝˋ ㄐㄧㄢˋ ㄐㄧㄝˋ ㄉㄚˋ	動漫	黑色五葉草
夢幻島	24	ㄇㄥˋ ㄏㄨㄢˋ ㄉㄠˇ	動漫	約定的夢幻島
夢想	425	ㄇㄥˋ ㄒㄧㄤˇ	動漫	棒球大聯盟
大人	23	ㄉㄚˋ ㄖㄣˊ	動漫	會長是女僕大人
大冒險	24	ㄉㄚˋ ㄇㄠˋ ㄒㄧㄢˇ	動漫	數碼寶貝大冒險
大原大次郎	16	ㄉㄚˋ ㄩㄢˊ ㄉㄚˋ ㄘˋ ㄌㄤˊ	動漫	烏龍派出所
大和凜子	15	ㄉㄚˋ ㄏㄜˊ ㄌㄧㄣˇ ㄗ˙	動漫	俺物語!!
大垣千明	17	ㄉㄚˋ ㄩㄢˊ ㄑㄧㄢ ㄇㄧㄥˊ	動漫	搖曳露營
大城光	13	ㄉㄚˋ ㄔㄥˊ ㄍㄨㄤ	動漫	阿波連同學深不可測
大場奈奈	9	ㄉㄚˋ ㄔㄤˇ ㄋㄞˋ ㄋㄞˋ	動漫	少女歌劇Revue Starlight
大學生活	12	ㄉㄚˋ ㄒㄩㄝˊ ㄕㄥ ㄏㄨㄛˊ	動漫	青春紀行
大宮忍	17	ㄉㄚˋ ㄍㄨㄥ ㄖㄣˇ	動漫	黃金拼圖
大崎娜娜	21	ㄉㄚˋ ㄑㄧˊ ㄋㄚˋ ㄋㄚˋ	動漫	NANA
大木大樹	19	ㄉㄚˋ ㄇㄨˋ ㄉㄚˋ ㄕㄨˋ	動漫	Dr.STONE新石紀
大江奏	12	ㄉㄚˋ ㄐㄧㄤ ㄗㄡˋ	動漫	花牌情緣
大王	21	ㄉㄚˋ ㄨㄤˊ	動漫	校園迷糊大王
大臣	69	ㄉㄚˋ ㄔㄣˊ	動漫	鈴芽之旅
大衛	22	ㄉㄚˋ ㄨㄟˋ	動漫	Cyberpunk: Edgerunners
大賢者	15	ㄉㄚˋ ㄒㄧㄢˊ ㄓㄜˇ	動漫	關於我轉生變成史萊姆這檔事
大路餅藏	15	ㄉㄚˋ ㄌㄨˋ ㄅㄧㄥˇ ㄗㄤˋ	動漫	玉子市場
大道寺知世	19	ㄉㄚˋ ㄉㄠˋ ㄙˋ ㄓ ㄕˋ	動漫	庫洛魔法使
大門兄弟	12	ㄉㄚˋ ㄇㄣˊ ㄒㄩㄥ ㄉㄧˋ	動漫	奇巧計程車
大雄	24	ㄉㄚˋ ㄒㄩㄥˊ	動漫	哆啦A夢
天下大將軍	13	ㄊㄧㄢ ㄒㄧㄚˋ ㄉㄚˋ ㄐㄧㄤ ㄐㄩㄣ	動漫	王者天下
天使	19	ㄊㄧㄢ ㄕˇ	動漫	天使降臨到我身邊
天元	23	ㄊㄧㄢ ㄩㄢˊ	動漫	天元突破紅蓮螺巖
天國	80	ㄊㄧㄢ ㄍㄨㄛˊ	動漫	天國大魔境
天國大魔境	22	ㄊㄧㄢ ㄍㄨㄛˊ ㄉㄚˋ ㄇㄛˊ ㄐㄧㄥˋ	動漫	天國大魔境
天堂之吻	19	ㄊㄧㄢ ㄊㄤˊ ㄓ ㄨㄣˇ	動漫	天堂之吻
天堂真矢	14	ㄊㄧㄢ ㄊㄤˊ ㄓㄣ ㄕˇ	動漫	少女歌劇Revue Starlight
天天座理世	14	ㄊㄧㄢ ㄊㄧㄢ ㄗㄨㄛˋ ㄌㄧˇ ㄕˋ	動漫	請問您今天要來點兔子嗎？
天才千金	19	ㄊㄧㄢ ㄘㄞˊ ㄑㄧㄢ ㄐㄧㄣ	動漫	轉生王女與天才千金的魔法革命
天木鍊	13	ㄊㄧㄢ ㄇㄨˋ ㄌㄧㄢˋ	動漫	盾之勇者成名錄
天氣	1025	ㄊㄧㄢ ㄑㄧˋ	動漫	天氣之子
天氣之子	25	ㄊㄧㄢ ㄑㄧˋ ㄓ ㄗˇ	動漫	天氣之子
天海春香	20	ㄊㄧㄢ ㄏㄞˇ ㄔㄨㄣ ㄒㄧㄤ	動漫	偶像大師
天空	516	ㄊㄧㄢ ㄎㄨㄥ	動漫	AIR
天空之城	8	ㄊㄧㄢ ㄎㄨㄥ ㄓ ㄔㄥˊ	動漫	天空之城
天草篠	15	ㄊㄧㄢ ㄘㄠˇ ㄒㄧㄠˇ	動漫	妄想學生會
天道茜	20	ㄊㄧㄢ ㄉㄠˋ ㄑㄧㄢˋ	動漫	亂馬1/2
天道輝	20	ㄊㄧㄢ ㄉㄠˋ ㄏㄨㄟ	動漫	殭屍100～在成為殭屍前要做的100件事～
天道靡	12	ㄊㄧㄢ ㄉㄠˋ ㄇㄧˇ	動漫	亂馬1/2
天野凪	17	ㄊㄧㄢ ㄧㄝˇ ㄓˇ	動漫	天氣之子
天野陽菜	20	ㄊㄧㄢ ㄧㄝˇ ㄧㄤˊ ㄘㄞˋ	動漫	天氣之子
天野雪輝	20	ㄊㄧㄢ ㄧㄝˇ ㄒㄩㄝˇ ㄏㄨㄟ	動漫	未來日記
天馬賢三	22	ㄊㄧㄢ ㄇㄚˇ ㄒㄧㄢˊ ㄙㄢ	動漫	MONSTER
太刀川美美	13	ㄊㄞˋ ㄉㄠ ㄔㄨㄢ ㄇㄟˇ ㄇㄟˇ	動漫	數碼寶貝大冒險
太宰治	19	ㄊㄞˋ ㄗㄞˇ ㄓˋ	動漫	文豪Stray Dogs
太陽之手	10	ㄊㄞˋ ㄧㄤˊ ㄓ ㄕㄡˇ	動漫	烘焙王
失憶投捕	20	ㄕ ㄧˋ ㄊㄡˊ ㄅㄨˇ	動漫	失憶投捕
失馬	9	ㄕ ㄇㄚˇ	動漫	SSSS.DYNAZENON
奇佐爾緹	14	ㄑㄧˊ ㄗㄨㄛˇ ㄦˇ ㄊㄧˊ	動漫	君主·埃爾梅羅二世事件簿
奇古	12	ㄑㄧˊ ㄍㄨˇ	動漫	晨曦公主
奇巧計程車	23	ㄑㄧˊ ㄑㄧㄠˇ ㄐㄧˋ ㄔㄥˊ ㄔㄜ	動漫	奇巧計程車
奇犽	21	ㄑㄧˊ ㄧㄚˊ	動漫	獵人
奈奈華	13	ㄋㄞˋ ㄋㄞˋ ㄏㄨㄚˊ	動漫	碧藍之海
奈落	11	ㄋㄞˋ ㄌㄨㄛˋ	動漫	犬夜叉
奈葉	22	ㄋㄞˋ ㄧㄝˋ	動漫	魔法少女奈葉
奧伊卡茲	15	ㄠˋ ㄧ ㄎㄚˇ ㄗ	動漫	香格里拉・開拓異境
奧克茲	14	ㄠˋ ㄎㄜˋ ㄗ	動漫	地。－關於地球的運動－
奧寺美紀	17	ㄠˋ ㄙˋ ㄇㄟˇ ㄐㄧˋ	動漫	你的名字
奧山真澄	12	ㄠˋ ㄕㄢ ㄓㄣ ㄔㄥˊ	動漫	交響情人夢
奧村燐	18	ㄠˋ ㄘㄨㄣ ㄌㄧㄣˊ	動漫	青之驅魔師
奧村英二	18	ㄠˋ ㄘㄨㄣ ㄧㄥ ㄦˋ	動漫	BANANA FISH
奧村雪男	15	ㄠˋ ㄘㄨㄣ ㄒㄩㄝˇ ㄋㄢˊ	動漫	青之驅魔師
奧森	12	ㄠˋ ㄙㄣ	動漫	來自深淵
奧茲貝	18	ㄠˋ ㄗ ㄅㄟˋ	動漫	潘朵拉之心
奧黛莉伯恩	15	ㄠˋ ㄉㄞˋ ㄌㄧˋ ㄅㄛˊ ㄣ	動漫	機動戰士鋼彈UC
女亂馬	15	ㄋㄩˇ ㄌㄨㄢˋ ㄇㄚˇ	動漫	亂馬1/2
女僕	22	ㄋㄩˇ ㄆㄨˊ	動漫	會長是女僕大人
女僕拿鐵	12	ㄋㄩˇ ㄆㄨˊ ㄋㄚˊ ㄊㄧㄝˇ	動漫	會長是女僕大人
女孩	22	ㄋㄩˇ ㄏㄞˊ	動漫	偶像大師灰姑娘女孩
女武神	22	ㄋㄩˇ ㄨˇ ㄕㄣˊ	動漫	終末的女武神
女神咖啡廳	20	ㄋㄩˇ ㄕㄣˊ ㄎㄚ ㄈㄟ ㄊㄧㄥ	動漫	女神咖啡廳
女神官	16	ㄋㄩˇ ㄕㄣˊ ㄍㄨㄢ	動漫	哥布林殺手
女郎	22	ㄋㄩˇ ㄌㄤˊ	動漫	青春豬頭少年不會夢到兔女郎學姊
奴良滑瓢	11	ㄋㄨˊ ㄌㄧㄤˊ ㄏㄨㄚˊ ㄆㄧㄠˊ	動漫	妖怪少爺
奴良陸生	18	ㄋㄨˊ ㄌㄧㄤˊ ㄌㄨˋ ㄕㄥ	動漫	妖怪少爺
如月千早	17	ㄖㄨˊ ㄩㄝˋ ㄑㄧㄢ ㄗㄠˇ	動漫	偶像大師
妄想學生會	20	ㄨㄤˋ ㄒㄧㄤˇ ㄒㄩㄝˊ ㄕㄥ ㄏㄨㄟˋ	動漫	妄想學生會
妖怪少爺	20	ㄧㄠ ㄍㄨㄞˋ ㄕㄠˋ ㄧㄝˊ	動漫	妖怪少爺
妖精尾巴	14	ㄧㄠ ㄐㄧㄥ ㄨㄟˇ ㄅㄚ	動漫	FAIRY TAIL魔導少年
妖精弓手	14	ㄧㄠ ㄐㄧㄥ ㄍㄨㄥ ㄕㄡˇ	動漫	哥布林殺手
妖魔	20	ㄧㄠ ㄇㄛˊ	動漫	百鬼夜行抄
妮亞	14	ㄋㄧˊ ㄧㄚˇ	動漫	天元突破紅蓮螺巖
妮可羅賓	12	ㄋㄧˊ ㄎㄜˇ ㄌㄨㄛˊ ㄅㄧㄣ	動漫	航海王
妮娜弗多拿	17	ㄋㄧˊ ㄋㄚˋ ㄈㄨˊ ㄉㄨㄛ ㄋㄚˊ	動漫	MONSTER
妮絲	19	ㄋㄧˊ ㄙ	動漫	七大罪
妹妹	22	ㄇㄟˋ ㄇㄟˋ	動漫	我的妹妹哪有這麼可愛
妹尾愛子	15	ㄇㄟˋ ㄨㄟˇ ㄞˋ ㄗˇ	動漫	小魔女DoReMi
妹控	13	ㄇㄟˋ ㄎㄨㄥˋ	動漫	我的妹妹哪有這麼可愛
姆魯姆魯	12	ㄇㄨˇ ㄌㄨˇ ㄇㄨˇ ㄌㄨˇ	動漫	未來日記
姬坂乃愛	11	ㄐㄧ ㄅㄢˇ ㄋㄞˇ ㄞˋ	動漫	天使降臨到我身邊
姬路瑞希	17	ㄐㄧ ㄌㄨˋ ㄖㄨㄟˋ ㄒㄧ	動漫	笨蛋，測驗，召喚獸
威廉	20	ㄨㄟ ㄌㄧㄢˊ	動漫	憂國的莫里亞蒂
娃娃	24	ㄨㄚˊ ㄨㄚˊ	動漫	戀上換裝娃娃
娜娜奇	15	ㄋㄚˋ ㄋㄚˋ ㄑㄧˊ	動漫	來自深淵
娜娜莉	14	ㄋㄚˋ ㄋㄚˋ ㄌㄧˋ	動漫	Code Geass反叛的魯路修
娜潔希坦	9	ㄋㄚˋ ㄐㄧㄝˊ ㄒㄧ ㄊㄢˇ	動漫	斬！赤紅之瞳
娜美	19	ㄋㄚˋ ㄇㄟˇ	動漫	航海王
娜貝拉爾	11	ㄋㄚˋ ㄅㄟˋ ㄌㄚ ㄦˇ	動漫	OVERLORD
嬴政	18	ㄧㄥˊ ㄓㄥˋ	動漫	王者天下
存在X	12	ㄘㄨㄣˊ ㄗㄞˋ X	動漫	幼女戰記
存在感	11	ㄘㄨㄣˊ ㄗㄞˋ ㄍㄢˇ	動漫	久保同學不放過我
季夏	15	ㄐㄧˋ ㄒㄧㄚˋ	動漫	晨曦公主
孤爪研磨	10	ㄍㄨ ㄓㄠˇ ㄧㄢˊ ㄇㄛˊ	動漫	排球少年
孤獨搖滾	25	ㄍㄨ ㄉㄨˊ ㄧㄠˊ ㄍㄨㄣˇ	動漫	孤獨搖滾
孫悟空	50	ㄙㄨㄣ ㄨˋ ㄎㄨㄥ	動漫	七龍珠
孫悟飯	19	ㄙㄨㄣ ㄨˋ ㄈㄢˋ	動漫	七龍珠
學園奶爸	19	ㄒㄩㄝˊ ㄩㄢˊ ㄋㄞˇ ㄅㄚˋ	動漫	學園奶爸
學園孤島	20	ㄒㄩㄝˊ ㄩㄢˊ ㄍㄨ ㄉㄠˇ	動漫	學園孤島
學園生活部	12	ㄒㄩㄝˊ ㄩㄢˊ ㄕㄥ ㄏㄨㄛˊ ㄅㄨˋ	動漫	學園孤島
學妹	20	ㄒㄩㄝˊ ㄇㄟˋ	動漫	宇崎學妹想要玩！
學姊	22	ㄒㄩㄝˊ ㄐㄧㄝˇ	動漫	青春豬頭少年不會夢到兔女郎學姊
學生會	250	ㄒㄩㄝˊ ㄕㄥ ㄏㄨㄟˋ	動漫	學生會的一存
學長	309	ㄒㄩㄝˊ ㄓㄤˇ	動漫	不要欺負我，長瀞同學
宅男腐女	23	ㄓㄞˊ ㄋㄢˊ ㄈㄨˇ ㄋㄩˇ	動漫	宅男腐女戀愛真難
宇崎	22	ㄩˇ ㄑㄧˊ	動漫	宇崎學妹想要玩！
宇崎月	11	ㄩˇ ㄑㄧˊ ㄩㄝˋ	動漫	宇崎學妹想要玩！
宇崎花	18	ㄩˇ ㄑㄧˊ ㄏㄨㄚ	動漫	宇崎學妹想要玩！
宇智波佐助	22	ㄩˇ ㄓˋ ㄅㄛ ㄗㄨㄛˇ ㄓㄨˋ	動漫	火影忍者
宇智波鼬	13	ㄩˇ ㄓˋ ㄅㄛ ㄧㄡˋ	動漫	火影忍者
宇治松千夜	13	ㄩˇ ㄓˋ ㄙㄨㄥ ㄑㄧㄢ ㄧㄝˋ	動漫	請問您今天要來點兔子嗎？
守屋菖蒲	12	ㄕㄡˇ ㄨ ㄔㄤ ㄆㄨˊ	動漫	青之箱
安原繪麻	16	ㄢ ㄩㄢˊ ㄏㄨㄟˋ ㄇㄚˊ	動漫	白箱
安城鳴子	17	ㄢ ㄔㄥˊ ㄇㄧㄥˊ ㄗ˙	動漫	未聞花名
安堂麗治	11	ㄢ ㄊㄤˊ ㄌㄧˋ ㄓˋ	動漫	監獄學園
安妮	19	ㄢ ㄋㄧˊ	動漫	SPY×FAMILY間諜家家酒
安妮亞	16	ㄢ ㄋㄧˊ ㄧㄚˇ	動漫	SPY×FAMILY間諜家家酒
安妮亞佛傑	18	ㄢ ㄋㄧˊ ㄧㄚˇ ㄈㄛˊ ㄐㄧㄝˊ	動漫	SPY×FAMILY間諜家家酒
安室透	10	ㄢ ㄕˋ ㄊㄡˋ	動漫	名偵探柯南
安德羅	12	ㄢ ㄉㄜˊ ㄌㄨㄛˊ	動漫	神之塔
安德里希	16	ㄢ ㄉㄜˊ ㄌㄧˇ ㄒㄧ	動漫	嘆氣的亡靈想隱退
安曇小太郎	17	ㄢ ㄊㄢˊ ㄒㄧㄠˇ ㄊㄞˋ ㄌㄤˊ	動漫	月色真美
安潔莉	12	ㄢ ㄐㄧㄝˊ ㄌㄧˋ	動漫	魔法使的新娘
安琪艾瑪	13	ㄢ ㄑㄧˊ ㄞˋ ㄇㄚˇ	動漫	86－不存在的戰區－
安茲	24	ㄢ ㄗ	動漫	異世界四重奏
安茲大人	14	ㄢ ㄗ ㄉㄚˋ ㄖㄣˊ	動漫	OVERLORD
安茲烏爾恭	22	ㄢ ㄗ ㄨ ㄦˇ ㄍㄨㄥ	動漫	OVERLORD
安西教練	13	ㄢ ㄒㄧ ㄐㄧㄠˋ ㄌㄧㄢˋ	動漫	灌籃高手
安迪	13	ㄢ ㄉㄧˊ	動漫	不死不運
宗介	19	ㄗㄨㄥ ㄐㄧㄝˋ	動漫	崖上的波妞
宗像禮司	10	ㄗㄨㄥ ㄒㄧㄤˋ ㄌㄧˇ ㄙ	動漫	K
宗像草太	20	ㄗㄨㄥ ㄒㄧㄤˋ ㄘㄠˇ ㄊㄞˋ	動漫	鈴芽之旅
宜野座伸元	15	ㄧˊ ㄧㄝˇ ㄗㄨㄛˋ ㄕㄣ ㄩㄢˊ	動漫	PSYCHO-PASS心靈判官
室井靜信	14	ㄕˋ ㄐㄧㄥˇ ㄐㄧㄥˋ ㄒㄧㄣˋ	動漫	屍鬼
