詞	詞頻	注音
十箱	3	ㄕˊ ㄒㄧㄤ
十包	3	ㄕˊ ㄅㄠ
十袋	3	ㄕˊ ㄉㄞˋ
十盒	3	ㄕˊ ㄏㄜˊ
十瓶	3	ㄕˊ ㄆㄧㄥˊ
十杯	3	ㄕˊ ㄅㄟ
十碗	3	ㄕˊ ㄨㄢˇ
十盤	3	ㄕˊ ㄆㄢˊ
十顆	3	ㄕˊ ㄎㄜ
十粒	3	ㄕˊ ㄌㄧˋ
十塊	3	ㄕˊ ㄎㄨㄞˋ
十根	3	ㄕˊ ㄍㄣ
十束	3	ㄕˊ ㄕㄨˋ
十位	3	ㄕˊ ㄨㄟˋ
十名	3	ㄕˊ ㄇㄧㄥˊ
十人	3	ㄕˊ ㄖㄣˊ
十戶	3	ㄕˊ ㄏㄨˋ
十家	3	ㄕˊ ㄐㄧㄚ
十間	3	ㄕˊ ㄐㄧㄢ
十隻	3	ㄕˊ ㄓ
十頭	3	ㄕˊ ㄊㄡˊ
十匹	3	ㄕˊ ㄆㄧˇ
十次	3	ㄕˊ ㄘˋ
十回	3	ㄕˊ ㄏㄨㄟˊ
十遍	3	ㄕˊ ㄅㄧㄢˋ
十場	3	ㄕˊ ㄔㄤˇ
十節	3	ㄕˊ ㄐㄧㄝˊ
十堂	3	ㄕˊ ㄊㄤˊ
十秒	3	ㄕˊ ㄇㄧㄠˇ
十分	3	ㄕˊ ㄈㄣ
十時	3	ㄕˊ ㄕˊ
十天	3	ㄕˊ ㄊㄧㄢ
十日	3	ㄕˊ ㄖˋ
十週	3	ㄕˊ ㄓㄡ
十月	3	ㄕˊ ㄩㄝˋ
十年	3	ㄕˊ ㄋㄧㄢˊ
十號	3	ㄕˊ ㄏㄠˋ
十樓	3	ㄕˊ ㄌㄡˊ
十室	3	ㄕˊ ㄕˋ
十巷	3	ㄕˊ ㄒㄧㄤˋ
十弄	3	ㄕˊ ㄋㄨㄥˋ
十段	3	ㄕˊ ㄉㄨㄢˋ
十元	3	ㄕˊ ㄩㄢˊ
十角	3	ㄕˊ ㄐㄧㄠˇ
十度	3	ㄕˊ ㄉㄨˋ
十坪	3	ㄕˊ ㄆㄧㄥˊ
十克	3	ㄕˊ ㄎㄜˋ
十噸	3	ㄕˊ ㄉㄨㄣˋ
十趟	3	ㄕˊ ㄊㄤˋ
十班	3	ㄕˊ ㄅㄢ
十站	3	ㄕˊ ㄓㄢˋ
十車	3	ㄕˊ ㄔㄜ
十座	3	ㄕˊ ㄗㄨㄛˋ
十艘	3	ㄕˊ ㄙㄠ
十架	3	ㄕˊ ㄐㄧㄚˋ
十分鐘	3	ㄕˊ ㄈㄣ ㄓㄨㄥ
十小時	3	ㄕˊ ㄒㄧㄠˇ ㄕˊ
十公斤	3	ㄕˊ ㄍㄨㄥ ㄐㄧㄣ
十公克	3	ㄕˊ ㄍㄨㄥ ㄎㄜˋ
十公里	3	ㄕˊ ㄍㄨㄥ ㄌㄧˇ
十公尺	3	ㄕˊ ㄍㄨㄥ ㄔˇ
十公分	3	ㄕˊ ㄍㄨㄥ ㄈㄣ
十毫米	3	ㄕˊ ㄏㄠˊ ㄇㄧˇ
十毫升	3	ㄕˊ ㄏㄠˊ ㄕㄥ
十公升	3	ㄕˊ ㄍㄨㄥ ㄕㄥ
十臺斤	3	ㄕˊ ㄊㄞˊ ㄐㄧㄣ
十平方公尺	3	ㄕˊ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄔˇ
十平方公里	3	ㄕˊ ㄆㄧㄥˊ ㄈㄤ ㄍㄨㄥ ㄌㄧˇ
十十	3	ㄕˊ ㄕˊ
十百	3	ㄕˊ ㄅㄞˇ
十千	3	ㄕˊ ㄑㄧㄢ
十萬	3	ㄕˊ ㄨㄢˋ
十億	3	ㄕˊ ㄧˋ
壹拾	3	ㄧ ㄕˊ
壹佰	3	ㄧ ㄅㄞˇ
壹仟	3	ㄧ ㄑㄧㄢ
壹萬	3	ㄧ ㄨㄢˋ
壹億	3	ㄧ ㄧˋ
壹元	3	ㄧ ㄩㄢˊ
壹角	3	ㄧ ㄐㄧㄠˇ
壹分	3	ㄧ ㄈㄣ
貳拾	3	ㄦˋ ㄕˊ
貳佰	3	ㄦˋ ㄅㄞˇ
貳仟	3	ㄦˋ ㄑㄧㄢ
貳萬	3	ㄦˋ ㄨㄢˋ
貳億	3	ㄦˋ ㄧˋ
貳元	3	ㄦˋ ㄩㄢˊ
貳角	3	ㄦˋ ㄐㄧㄠˇ
貳分	3	ㄦˋ ㄈㄣ
參拾	3	ㄙㄢ ㄕˊ
參佰	3	ㄙㄢ ㄅㄞˇ
參仟	12	ㄙㄢ ㄑㄧㄢ
參萬	3	ㄙㄢ ㄨㄢˋ
參億	3	ㄙㄢ ㄧˋ
參元	3	ㄙㄢ ㄩㄢˊ
參角	3	ㄙㄢ ㄐㄧㄠˇ
參分	3	ㄙㄢ ㄈㄣ
肆拾	3	ㄙˋ ㄕˊ
肆佰	3	ㄙˋ ㄅㄞˇ
肆仟	3	ㄙˋ ㄑㄧㄢ
肆萬	3	ㄙˋ ㄨㄢˋ
肆億	3	ㄙˋ ㄧˋ
肆元	3	ㄙˋ ㄩㄢˊ
肆角	3	ㄙˋ ㄐㄧㄠˇ
肆分	3	ㄙˋ ㄈㄣ
伍拾	3	ㄨˇ ㄕˊ
伍佰	3	ㄨˇ ㄅㄞˇ
伍仟	3	ㄨˇ ㄑㄧㄢ
伍萬	3	ㄨˇ ㄨㄢˋ
伍億	3	ㄨˇ ㄧˋ
伍元	3	ㄨˇ ㄩㄢˊ
伍角	3	ㄨˇ ㄐㄧㄠˇ
伍分	3	ㄨˇ ㄈㄣ
陸拾	3	ㄌㄨˋ ㄕˊ
陸佰	3	ㄌㄨˋ ㄅㄞˇ
陸仟	3	ㄌㄨˋ ㄑㄧㄢ
陸萬	3	ㄌㄨˋ ㄨㄢˋ
陸億	3	ㄌㄨˋ ㄧˋ
陸元	3	ㄌㄨˋ ㄩㄢˊ
陸角	3	ㄌㄨˋ ㄐㄧㄠˇ
陸分	3	ㄌㄨˋ ㄈㄣ
柒拾	3	ㄑㄧ ㄕˊ
柒佰	3	ㄑㄧ ㄅㄞˇ
柒仟	3	ㄑㄧ ㄑㄧㄢ
柒萬	3	ㄑㄧ ㄨㄢˋ
柒億	3	ㄑㄧ ㄧˋ
柒元	3	ㄑㄧ ㄩㄢˊ
柒角	3	ㄑㄧ ㄐㄧㄠˇ
柒分	3	ㄑㄧ ㄈㄣ
捌拾	3	ㄅㄚ ㄕˊ
捌佰	3	ㄅㄚ ㄅㄞˇ
捌仟	3	ㄅㄚ ㄑㄧㄢ
捌萬	3	ㄅㄚ ㄨㄢˋ
捌億	3	ㄅㄚ ㄧˋ
捌元	3	ㄅㄚ ㄩㄢˊ
捌角	3	ㄅㄚ ㄐㄧㄠˇ
捌分	3	ㄅㄚ ㄈㄣ
玖拾	3	ㄐㄧㄡˇ ㄕˊ
玖佰	3	ㄐㄧㄡˇ ㄅㄞˇ
玖仟	3	ㄐㄧㄡˇ ㄑㄧㄢ
玖萬	3	ㄐㄧㄡˇ ㄨㄢˋ
玖億	3	ㄐㄧㄡˇ ㄧˋ
玖元	3	ㄐㄧㄡˇ ㄩㄢˊ
玖角	3	ㄐㄧㄡˇ ㄐㄧㄠˇ
玖分	3	ㄐㄧㄡˇ ㄈㄣ
